,STATION,ENTRIES,EXITS,geometry
239,montrose av,0.22880481921176293,-0.3519301080081726,POINT (-73.93979284713505 40.70739106438455)
240,morgan av,-0.4039945835144771,-0.35395805146699555,POINT (-73.93314700024209 40.70615166680729)
241,mt eden av,-0.4054228688628274,-0.35402261373631044,POINT (-73.91468499860341 40.84443400092679)
242,myrtle,1.4299551732541453,0.2633435626369013,POINT (-73.91097571826469 40.69947106242714)
243,myrtle,1.4299551732541453,0.2633435626369013,POINT (-73.91217899939602 40.69945400090837)
244,myrtle,1.4299551732541453,0.2633435626369013,POINT (-73.94906699890156 40.69461899903765)
245,neck rd,-0.0871144765949461,-0.35010634746265157,POINT (-73.95507827493762 40.59532169111695)
246,nevins st,-0.4070690673055591,-0.34743434226192826,POINT (-73.98040679874578 40.68831058019022)
247,new lots av,-0.36867425812524596,-0.33620851503843546,POINT (-73.88411070800329 40.6663149325969)
248,new lots av,-0.36867425812524596,-0.33620851503843546,POINT (-73.89927796057142 40.65891477368527)
249,nostra av,-0.3339352380524469,-0.28392674050526134,POINT (-73.95042600099683 40.68043800006226)
